No,SAP CODE,STORE NAME,LAT,LONG,Store Address
159,M101,MEGASTORE RUKO BINTARA,-6.229238,106.9549289,"JL.Bintara No.7, RT.001/RW.002, Bintara, Bekasi Barat, 17134 , Bintara , Bekasi Barat , Bekasi Kota"
160,E130,ERAFONE 2 MAL CIJANTUNG,-6.330068,106.867135,"Mall Graha Cijantung Lt. Dasar , Jl. Pendidikan I No.1, RT.1/RW.4, Cijantung, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13770"
161,M175,ERAFONE AND MORE CILANGKAP,-6.342185,106.906937,"Jl Raya Cilangkap,RT2/RW2,cilangkap,kec cipayung,kota Jakarta timur,daerah khusus ibukota Jakarta"
162,E036,ERAFONE CIBUBUR JUNCTION,-6.3696504,106.8943927,"Cibubur Junction Lantai 2, Jl. Jambore No 1, Cibubur, Ciracas, RT.8/RW.7, Cibubur, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13720"
163,E034,ERAFONE MAL CIJANTUNG,-6.3212924,106.8644947,"Mall Graha Cijantung Lt. Dasar No.38. Jl. Pendidikan I No.1, RT.1/RW.4, Cijantung, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13770"
164,E033,ERAFONE MALL CITRAGRAN CIBUBUR,-6.3830783,106.9257335,"Mall Ciputra Citra Grand Lantai 2  S31-32 Jl. Raya Alternatif Cibubur-Cilengsi Km 4, RT.005/RW.011, Jatikarya, Kec. Jatisampurna, Kota Bks, Jawa Barat 17435"
165,E729,ERAFONE MB LAPANGAN TEMBAK CIBUBUR,-6.3517925,106.8860418,"Ruko Cibubur Indah 2 nomor 14 M, Jl. Lap.Tembak RT.1/RW.11, Cibubur, Kec.Ciracas Kota Jakarta Timur-13720"
166,E590,ERAFONE RUKO ALTERNATIF CIBUBUR,-6.3758772,106.9160682,"Jl.Alternative Cibubur RT.001 RW.003 Jatikarya , Kecamatan jatisampurna , Kota Bekasi Jawa Barat , Bekasi  Kode POS : 17435"
167,E591,ERAFONE RUKO CEGER JAKTIM,-6.311841,106.889375,"Jln raya ceger,RT.3/RW1,ceger,kec cipayung,kota Jakarta timur,daerah khusus ibukota Jakarta,13820"
168,E367,ERAFONE RUKO CIRACAS,-6.3300638,106.869669,"Jl. Ciracas Raya Rt 03 / Rw 007, Kel. Ciracas, Kec. Ciracas, Jakarta Timur 13740"
169,E136,ERAFONE TRANS STUDIO MALL CIBUBUR,-6.3753393,106.9019205,"TSM Cibubur Second Floor L2-52 Jl. Alternatif Cibubur No. 230 Harjamukti, Cimanggis, Kota Depok. Jawa Barat 16454"
170,G195,HYPERMART CIBUBUR JUNCTION,-6.3697383,106.8937532,"Hypermart Cibubur Junction lt. LG, Jl. Jambore No.1, RT.4/14/RW.7, Cibubur, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13720"
171,G197,HYPERMART CITRA GRAN MAL CIBUBUR,-6.3830771,106.9259821,"Mall Ciputra Cibubur, Jl. Alternatif Cibubur Cileungsi KM. 4, Jatikarya, Jatisampurna, Jatikarya, Jatisampurna, Kota Bks, Jawa Barat 17435"
172,G109,LOTTEMART PASAR REBO,-6.3249584,106.855766,"Jl. Lkr. Luar Sel. No.Kav 6, RT.5/RW.2, Susukan, Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13750"
173,G143,ELEC CITY MAL ARTHA GADING,-6.1457993,106.8925413,"Jl. Boulevard Artha Gading, Mal Artha Gading 3rd Floor. Zona China, RT.18/RW.8, West Kelapa Gading, Kelapa Gading, North Jakarta City, Jakarta 14240"
174,E045,ERAFONE 2 MAL ARTHA GADING,-6.1451837,106.8922597,"Mall Artha Gading Lantai GF Blok A2 No. 22-23, Jl. Artha Gading Sel. No.1, RT.18/RW.8, Klp. Gading Bar., Kec. Klp. Gading, Kota Jkt Utara, Jakarta 14240"
175,E623,ERAFONE DANAU SUNTER,-6.1388549,106.8663759,"Jl. Danau Sunter Utara No.20 RT.07/RW.10 Sunter Agung, Tanjung Priok, Jakarta Utara"
176,E127,ERAFONE MALL OF INDONESIA,-6.1509051,106.8920401,"Mall of Indonesia Ground Floor 1A6-1A9 Jl. Boulevard Barat Raya, RT.18/RW.8, Klp. Gading Bar., Kec. Klp. Gading, Kota Jkt Utara, Jakarta 14240"
